Date,Product_A,Product_B,Product_C,Product_D,Month,Total_Sales,Average_Sales,Month_over_Month_Growth,Quarter,Max_Sales_Product,Min_Sales_Product
2025-01-01,88,65,52,18,2025-01,223,55.75,,2025Q1,Product_A,Product_D
2025-02-01,78,69,31,48,2025-02,226,56.5,1.3452914798206317,2025Q1,Product_A,Product_C
2025-03-01,64,53,41,27,2025-03,185,46.25,-18.14159292035398,2025Q1,Product_A,Product_D
2025-04-01,92,32,44,13,2025-04,181,45.25,-2.1621621621621623,2025Q2,Product_A,Product_D
2025-05-01,57,51,46,34,2025-05,188,47.0,3.8674033149171283,2025Q2,Product_A,Product_D
2025-06-01,70,31,47,23,2025-06,171,42.75,-9.042553191489366,2025Q2,Product_A,Product_D
2025-07-01,88,53,35,18,2025-07,194,48.5,13.450292397660824,2025Q3,Product_A,Product_D
2025-08-01,68,73,34,35,2025-08,210,52.5,8.247422680412363,2025Q3,Product_B,Product_C
2025-09-01,72,59,22,11,2025-09,164,41.0,-21.904761904761905,2025Q3,Product_A,Product_D
2025-10-01,60,67,56,29,2025-10,212,53.0,29.268292682926834,2025Q4,Product_B,Product_D
2025-11-01,60,31,26,37,2025-11,154,38.5,-27.35849056603774,2025Q4,Product_A,Product_C
2025-12-01,73,50,40,16,2025-12,179,44.75,16.233766233766247,2025Q4,Product_A,Product_D
